"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","79,866.75","79,507.05","80,100.00","79,507.05","2.29K","-0.22%"
"11/07/2024","80,041.20","80,600.00","80,604.00","80,000.00","0.66K","-0.96%"
"11/06/2024","80,813.50","80,000.00","80,989.95","80,000.00","1.30K","1.20%"
"11/05/2024","79,853.40","79,300.00","79,948.95","79,100.00","0.69K","0.52%"
"11/04/2024","79,443.05","79,625.10","79,780.00","79,000.00","1.19K","-0.85%"
"11/01/2024","80,126.15","80,300.00","80,340.20","80,100.20","0.08K","-0.22%"
"10/31/2024","80,301.65","80,790.35","80,790.35","80,100.00","0.40K","-0.60%"
"10/30/2024","80,790.35","80,789.90","81,009.00","80,631.00","0.19K","-0.39%"
"10/29/2024","81,110.45","80,111.10","81,149.00","80,111.10","0.23K","0.69%"
"10/28/2024","80,554.65","80,756.00","81,056.05","79,707.50","1.37K","1.45%"
"10/25/2024","79,402.29","80,094.75","80,284.00","78,560.35","31.52K","-0.96%"
"10/24/2024","80,172.25","80,241.25","80,284.95","79,853.20","7.26K","0.01%"
"10/23/2024","80,164.15","80,268.80","80,722.15","80,073.45","3.83K","-0.23%"
"10/22/2024","80,348.00","81,258.65","81,596.50","80,200.00","3.81K","-0.94%"
"10/21/2024","81,111.25","81,727.95","81,727.95","80,900.00","9.25K","-0.43%"
"10/18/2024","81,460.15","80,885.00","81,573.80","80,600.00","6.33K","0.34%"
"10/17/2024","81,182.75","81,814.50","81,814.50","81,143.75","1.69K","-0.65%"
"10/16/2024","81,714.50","81,750.10","82,099.00","81,524.85","0.98K","-0.20%"
"10/15/2024","81,880.00","82,305.00","82,320.00","81,750.10","0.40K","-0.43%"
"10/14/2024","82,235.35","81,997.95","82,340.00","81,750.00","0.56K","0.60%"
"10/11/2024","81,746.60","81,810.05","82,182.50","81,680.00","1.01K","-0.22%"
"10/10/2024","81,926.40","82,000.90","82,300.00","81,901.00","0.16K","0.10%"
"10/09/2024","81,846.10","82,000.30","82,679.00","81,749.95","0.90K","-0.19%"
"10/08/2024","81,999.95","81,700.00","82,199.65","81,301.00","0.35K","0.37%"
"10/07/2024","81,700.00","82,500.05","82,689.95","81,400.00","0.48K","-0.72%"
"10/04/2024","82,288.85","83,000.00","83,678.90","82,211.00","2.32K","-1.10%"
"10/03/2024","83,203.35","84,300.00","84,300.00","83,010.05","1.72K","-1.91%"
"10/01/2024","84,823.10","84,900.00","84,984.90","84,420.10","1.16K","-0.02%"
"09/30/2024","84,837.45","85,599.95","86,490.00","84,615.00","2.30K","-0.86%"
"09/27/2024","85,571.85","85,752.60","86,023.70","85,563.00","45.88K","-0.21%"
"09/26/2024","85,752.60","85,178.00","85,824.70","85,178.00","26.23K","0.78%"
"09/25/2024","85,091.55","84,815.00","85,161.50","84,731.80","7.23K","0.25%"
"09/24/2024","84,877.20","84,804.15","85,063.65","84,783.65","18.67K","0.10%"
"09/23/2024","84,795.25","84,600.00","84,891.60","84,600.00","12.94K","0.60%"
"09/20/2024","84,292.30","83,736.90","84,382.65","83,245.95","38.31K","1.03%"
"09/19/2024","83,436.90","83,480.00","83,805.00","83,200.00","2.24K","0.58%"
"09/18/2024","82,958.55","83,105.10","83,362.00","82,800.00","1.07K","-0.28%"
"09/17/2024","83,188.25","83,099.90","83,198.45","82,990.00","0.59K","0.07%"
"09/16/2024","83,127.70","82,942.20","83,200.00","82,942.20","0.41K","0.22%"
"09/13/2024","82,942.15","82,700.00","83,099.95","82,700.00","1.37K","0.06%"
"09/12/2024","82,894.45","81,300.00","83,082.00","81,300.00","3.23K","1.47%"
"09/11/2024","81,690.85","81,911.90","82,200.00","81,602.00","1.07K","-0.47%"
"09/10/2024","82,075.15","81,800.00","82,284.00","81,555.00","1.19K","0.47%"
"09/09/2024","81,693.30","81,314.65","81,810.95","81,160.10","1.32K","0.28%"
"09/06/2024","81,467.35","82,205.75","82,425.75","81,359.90","5.61K","-1.16%"
"09/05/2024","82,425.75","82,698.80","82,698.80","82,327.50","0.39K","0.09%"
"09/04/2024","82,349.55","82,200.75","82,399.95","82,150.00","1.15K","-0.39%"
"09/03/2024","82,669.75","82,544.05","82,700.00","82,544.05","0.26K","0.05%"
"09/02/2024","82,626.65","82,644.00","82,725.00","82,500.00","0.71K","0.32%"
"08/30/2024","82,365.77","82,303.00","82,530.10","82,219.90","82.71K","0.24%"
"08/29/2024","82,169.80","81,795.10","82,250.00","81,721.80","19.93K","0.45%"
"08/28/2024","81,803.10","81,750.00","82,074.30","81,657.70","15.43K","0.08%"
"08/27/2024","81,734.00","81,799.95","81,940.55","81,649.90","9.68K","-0.07%"
"08/26/2024","81,792.70","81,201.00","81,882.00","81,201.00","5.54K","0.77%"
"08/23/2024","81,171.40","81,160.95","81,300.00","81,000.00","7.18K","0.01%"
"08/22/2024","81,161.50","81,000.00","81,288.90","81,000.00","2.27K","0.21%"
"08/21/2024","80,987.80","80,651.35","81,000.00","80,651.35","0.65K","0.19%"
"08/20/2024","80,835.45","80,600.00","81,000.00","80,600.00","1.07K","0.38%"
"08/19/2024","80,530.40","80,500.00","80,723.60","80,350.00","0.66K","0.09%"
"08/16/2024","80,455.60","79,800.00","80,551.90","79,501.10","3.90K","1.44%"
"08/14/2024","79,311.60","79,200.00","79,468.85","79,150.00","0.28K","0.05%"
"08/13/2024","79,268.85","79,550.20","79,871.75","79,198.60","0.51K","-0.57%"
"08/12/2024","79,725.85","79,990.00","80,298.00","79,600.00","1.13K","-0.27%"
"08/09/2024","79,943.90","79,750.00","80,190.00","79,702.10","4.70K","0.90%"
"08/08/2024","79,231.15","79,500.00","79,679.00","79,100.00","0.43K","-0.71%"
"08/07/2024","79,798.25","79,575.00","80,593.60","79,450.90","0.98K","0.89%"
"08/06/2024","79,093.60","79,425.00","80,039.75","78,920.00","1.39K","-0.01%"
"08/05/2024","79,098.95","80,456.65","80,456.65","78,600.00","2.77K","-2.38%"
"08/02/2024","81,025.65","81,400.00","81,449.85","80,998.00","3.29K","-1.02%"
"08/01/2024","81,862.55","82,000.00","82,112.55","81,711.00","1.51K","0.06%"
"07/31/2024","81,809.70","81,774.80","81,882.15","81,600.00","0.57K","0.24%"
"07/30/2024","81,612.35","81,420.00","81,800.00","81,420.00","0.63K","0.23%"
"07/29/2024","81,428.20","81,898.85","81,913.15","81,400.00","1.35K","0.12%"
"07/26/2024","81,332.72","80,098.15","81,599.95","80,085.05","72.57K","1.62%"
"07/25/2024","80,038.15","79,966.95","80,127.00","79,553.35","11.63K","-0.16%"
"07/24/2024","80,165.90","80,420.00","80,510.10","79,800.00","6.74K","-0.31%"
"07/23/2024","80,418.95","81,000.00","81,000.00","79,335.10","20.04K","-0.17%"
"07/22/2024","80,557.45","80,600.00","80,868.80","80,200.00","7.85K","-0.12%"
"07/19/2024","80,655.65","81,101.05","81,369.90","80,600.00","13.01K","-0.88%"
"07/18/2024","81,375.80","80,570.80","81,515.55","80,520.00","3.09K","0.75%"
"07/16/2024","80,770.75","80,790.00","80,900.00","80,625.00","0.99K","-0.01%"
"07/15/2024","80,778.50","80,550.05","80,829.40","80,550.05","0.59K","0.33%"
"07/12/2024","80,510.20","80,107.55","80,990.20","80,000.20","2.84K","0.50%"
"07/11/2024","80,107.60","79,968.80","80,164.25","79,620.00","0.63K","0.08%"
"07/10/2024","80,043.50","80,250.15","80,293.70","79,700.00","2.36K","-0.42%"
"07/09/2024","80,383.65","80,100.00","80,418.40","80,100.00","0.62K","0.44%"
"07/08/2024","80,030.90","79,706.55","80,098.45","79,706.55","0.41K","-0.01%"
"07/05/2024","80,036.00","79,999.90","80,100.00","79,608.30","1.71K","0.01%"
"07/04/2024","80,028.30","80,000.00","80,395.80","80,000.00","0.83K","0.10%"
"07/03/2024","79,948.80","79,610.00","79,999.85","79,610.00","0.75K","0.55%"
"07/02/2024","79,510.10","79,447.00","79,743.95","79,225.00","0.75K","0.08%"
"07/01/2024","79,449.90","79,200.00","79,470.00","79,200.00","0.34K","0.53%"
"06/28/2024","79,032.73","79,300.00","79,638.20","78,994.60","36.36K","-0.30%"
"06/27/2024","79,267.35","78,523.00","79,356.45","78,423.00","9.65K","0.88%"
"06/26/2024","78,577.25","77,900.00","78,666.00","77,857.75","4.73K","0.82%"
"06/25/2024","77,934.60","77,379.95","77,964.35","77,379.95","7.79K","0.77%"
"06/24/2024","77,337.90","77,172.40","77,391.95","76,851.00","4.67K","0.21%"
"06/21/2024","77,172.45","77,485.35","77,646.95","76,910.80","13.55K","-0.40%"
"06/20/2024","77,485.35","77,300.05","77,600.00","77,089.25","0.80K","0.25%"
